old,speaker
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
"ちょっと、最近廃屋の地下や井戸の中から
獣臭い変な臭いがするんだよ",Myra
"はあ――
ただでさえ陰鬱な気持ちなのに
本当嫌になっちゃうね――",Myra
"あんた、様子見て来とくれよ
どうせ覚者なんて長生きなばっかりで、暇なんだろ？",Myra
"まぁ、お願いしといてケガでもされちゃ
目覚めが悪いからさ
倒れないようには気を付けるんだよ",Myra
"様子を見てきたら、またココに
集まって話を聞かせとくれ
待ってるからね",Myra
"何うろうろしてんのさ
もし変な獣でもいて、こうしてる間に
人が襲われたらどうするつもりだい？",Myra
"まぁ、お願いしといてケガでもされちゃ
寝覚めが悪いから
倒れたりしないように気をつけとくれよ",Myra
"じゃ、あたしゃここで待ってるから
様子を見てきたら、またココに集まるんだよ
さぁさぁ、早く見てきとくれ！",Myra
"へぇ、そうだったのかい
――思った以上に上出来じゃないか
やるじゃないのさ",Myra
"じゃ、ちょっといいお礼を用意しといたから
何かの足しにでもしとくれ",Myra
"――あんた、やけに疲れた顔してるね
覚者ってのはその程度なのかい",Myra
"今回のところはこれでいいけど
次はもっとうまくやっとくれよ",Myra
"一応、報酬は用意しといたんだ
持ち帰り自由だから好きにしな",Myra
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
