old,,english,speaker
話すことなどない,There is nothing to say anymore.,,Black Knight
身の程を知れ,Know your place.,,Black Knight
聞く耳持たぬわ,I refuse to listen to you.,,Black Knight
消えろ,Disappear.,,Black Knight
笑止――,Ridiculous...,,Black Knight
耳障りな声だ,Such an annoying voice.,,Black Knight
思い上がるな,Don't get conceited.,,Black Knight
自惚れるな,Don't be conceited.,,Black Knight
半端覚者め――失せろ,You half-baked Arisen—Disappear.,,Black Knight
貴様らの世界観で我が遠謀深慮ははかれぬ,Our cunning cannot be understood by your worldview,,Black Knight
ふん、身の程知らずめ,"Ignorant fool, know your place.",,Black Knight
