Jp,En,english,speaker
"そうだ、あんた覚者なんだろ？
最近、妙な赤い光を見たっていう情報が
いろんなところから入ってくるんだ
何か知ってたら教えてくれない？","That’s right, you’re an Arisen, aren’t you? 
Lately, we’ve been getting reports from all over
about strange red lights being seen. 
If you know something, could you tell me?",,Razanailt
"最近だと、外にいるオリアが
その赤い光を見たらしいからさ
一度話を聞いてみてよ","Oria, who's been outside
recently saw the red light.
Why not go question her?",,Razanailt
"最近、妙な赤い光を見たっていう情報が
いろんなところから入ってくるんだ
あんた、何か知ってたら教えてくれない？","I've been getting reports from all over
about people seeing strange red lights.
Do you know anything about it?",,Razanailt
"最近だと、外にいるオリアが
その赤い光を見たらしいからさ
一度話を聞いてみてよ","Oria, who's been outside
recently saw the red light.
Why not go question her?",,Razanailt
"赤い光を目撃したかだって？
確かに見たともさ！
それも、この森のいろんな場所で見たよ","If I saw the red light? 
Sure did! Saw it in lots of
places around this forest, too.",,Oria
"ただ――魔物のように恐ろしげだったり
不気味だったりするものじゃなかったね
よーく見ると、ひっそりある感じだよ","But—it wasn’t terrifying like some
monster, or eerie, or anything really.
Look closely, and it’s just kinda... there.",,Oria
"あれは周りをよく見ないとわからないと思うねぇ――
そういえば、さっき他の人にも赤い光の
調査をしてるって話を聞かれたから
その人にも様子を聞いてみるといいんじゃないかね？","Can't tell without looking properly...
Now that I think of it, someone else
mentioned studying the red light -
maybe ask them too?",,Oria
"赤い光は見たけど、魔物のように恐ろしげだったり
不気味だったりするものじゃなかったね
よーく見ると、ひっそりある感じだよ","I saw the red light, but it wasn’t terrifying
like some enemy, or eerie, or anything. 
Look closely, and it’s just kinda... there.",,Oria
"あれは周りをよく見ないとわからないと思うねぇ――
そういえば、さっき他の人にも赤い光の
調査をしてるって話を聞かれたから
その人にも様子を聞いてみるといいんじゃないかね？","Can't tell without looking properly...
Now that I think of it, someone else
mentioned studying the red light -
maybe ask them too?",,Oria
"これは隊長殿――
赤い妖光の調査状況についてですか？","Ah, Captain - is this concerning
that strange red light?",,Arisen Corps Regimental Soldier
"ちょうど、この周辺に
赤く光るモノがあるらしいのですが――
まだ発見できずに困ってたんです","Apparently, there's something around here
that glows red... but I still haven't
been able to find it. It's been frustrating.",,Arisen Corps Regimental Soldier
"聞いたところによれば
高低差や地形などをよく把握した上で探すと
発見できるようです","They say you'll find it if you pay attention to
the landscape and elevation differences when
you search.",,Arisen Corps Regimental Soldier
"自分はココでしばらく粘ってみたのですが
全然ダメでして――
よかったら、隊長殿も探してみられては
いかがでしょう？","I tried sticking it out here for a while
but had no luck at all. 
Captain, perhaps you'd like to attempt it instead?",,Arisen Corps Regimental Soldier
"聞いたところによれば
高低差や地形などをよく把握した上で探すと
発見できるようですよ","I heard you'll find it if you pay attention to
the landscape and elevation differences when
you search.",,Arisen Corps Regimental Soldier
"おおお！　さすがは隊長殿！！
鮮やかなる発見っぷりでした！","Whoa! That's the Captain for you!
What a brilliant discovery!",,Arisen Corps Regimental Soldier
"そうそう、フィンダム中を調査して
コイツを発見していくと
その結果に応じて、神殿から報酬が出るそうですよ","Right—so, if you scout around Phindym
and find these things, the temple will
reward you based on your results, 
or so I've heard.",,Arisen Corps Regimental Soldier
"どのくらい発見できたかについては
一度、白竜神殿にいるジュリアさんの元を
訪れるか、アチーブメントを確認してください","To check how many you’ve found, either visit
Miss Julia at the White Dragon Temple or
check your achievements.",,Arisen Corps Regimental Soldier
"いやぁ、できれば自分も赤い光を
見つけてみたかったものですが――
どうも向いていないようです
別のところでお役に立てるよう、精進します！","Well, I would have liked to find the red light
myself if possible, but...
I suppose it's just not for me.
I'll strive to be of use elsewhere!",,Arisen Corps Regimental Soldier
"フィンダム中を調査して
この赤い光を発見していくと
その結果に応じて、神殿から報酬が出るそうですよ","If you scout around Phindym
and find these red lights, the temple will
reward you based on your results.",,Arisen Corps Regimental Soldier
"どのくらい発見できたかについては
一度、白竜神殿にいるジュリアさんの元を
訪れるか、アチーブメントを確認してくださいね","To check how many you’ve found, either visit
Miss Julia at the White Dragon Temple or
check your achievements.",,Arisen Corps Regimental Soldier
"へぇ、あの赤い光は《精霊の火種》っていうのかい
持ってるだけじゃ特に役にも立たないし
何の害も無いってシロモノなんだね――","Huh, that red light is called a ""Spiritual Flame?""
Just carrying it doesn't seem to do anything,
and it's completely harmless...",,Razanailt
"心配して損しちまったよ
てっきり、侵食のせいでまた何かが
おかしくなっちまったのかと思ってさ！","Worried for nothing. Thought maybe
the corruption had messed things up again!",,Razanailt
"わざわざ調べてくれてありがとう
あんた、結構いいやつみたいだね","Thanks for checking it out.
You seem like a pretty good sort.",,Razanailt
