"Jp","En","english","speaker"
"――それでは、お話しいたしましょう","... Then, let me tell you the story.","","Bacias"
"覚者様にはまず――
闇の魔法を操るドラゴンの居場所を
突き止めていただきたいのです","Ser Arisen, first...
We need you to locate the Dragon
that wields dark magick.","","Bacias"
"あのドラゴンが現れ
魔物が湧き出でるようになってから
火垂れ山の中もすっかり変わってしまいました","Ever since that Dragon appeared
and the monsters began to emerge,
Firefall Mountain has changed drastically.","","Bacias"
"この野営地から、我々も何度か調査に
赴いているのですが――策に嵌められたりと
未だに居場所は掴めていないのが現状です","We've investigated from this location
several times... but it is cunning; 
it tricks us at every turn, 
and we still haven't found its lair.","","Bacias"
"ただ、我々に仕向けられた魔物を倒すことで
＜闇の力の痕跡が残る＞という手がかりは掴んでいます
覚者様であれば、きっと闇の力の発生場所――
闇のドラゴンの居場所まで辿り着けるでしょう","However, by defeating the foes sent after us,
we've found traces of dark power.
Ser Arisen, you should be able to track them
back to the source... the Black Dragon's lair.","","Bacias"
"居場所を見つけた際には
是非一度野営地にお戻りください
どう見ても、一筋縄ではいかない相手です
最善の準備をしてから討伐に向かうことをお勧めします","Once you find its lair,
please return to the encampment.
This foe is clearly formidable.
Make ample preparations before heading out.","","Bacias"
"仕向けられた魔物を倒すことで
＜闇の力の痕跡＞が残ります
それを手がかりに進んで行けば
きっと居場所に繋がっているはずです","Defeating the enemies sent after you
will leave traces of dark power.
Follow these clues, and they will
surely lead you to its lair.","","Bacias"
"居場所に目星が付きましたか！
しかし、大きな岩で通路が塞がっている、と――
承知いたしました
その岩は私たちが何とかしておきましょう","You've found its lair?
But the path is blocked by a large boulder?
Understood.
We'll take care of that boulder.","","Bacias"
"コリーを通じて北の盗賊に掛け合い
爆薬を集めてもらえば砕くことができるはずです","We'll negotiate with the thieves to the north
through Cory and gather explosives to break it.","","Bacias"
"少しお時間をいただきますが――
覚者様は、その間に討伐の準備をお進めください
相手は正体不明、そして非常に強大な力を持つ魔物です
くれぐれも油断なさらぬよう","This will take some time...
So, Ser Arisen, please prepare for the battle.
Your foe is mysterious and powerful.
Do not let your guard down.","","Bacias"
