old,new,english,speaker
憲兵が見張っている――この先には行けなさそうだ,,,0
新たな《証拠》を手に入れた！,,,0
誰かの話し声が聞こえる――,Someone's voice can be heard――,,0
憲兵たちが何かを落としたようだ――,,,0
"憲兵の警ら日誌のようだ
日々の巡回記録が記されている――",,,0
"“ ＜22時　対象を確認＞
　　場所：メガド居住区東小門前
　　人数：5名
　　報告：通報のあった結社集会の現場を発見
　　　　　構成員は全て市民のため
　　　　　その場で拘束・連行し、任務完了 ”",,,0
"“ ＜3時半　対象を確認＞
　　場所：居住区西マーケット付近
　　年齢：20～35歳程度 
　　報告：声をかけたところ
　　　　　殴りかかってきたため
　　　　　拘束・連行し、任務完了 ”――",,,0
"同じような巡回記録が
延々と続いている",,,0
地面にキラリと光る何かを見つけた,,,0
――――,,,0
割れた空き瓶だった――,,,0
石の下から何かがはみ出ている,,,0
――――,,,0
誰かの捨てた靴下だった――,,,0
地面に鮮やかな何かが飛び出ている,,,0
――――,,,0
掘り出し物の花瓶を見つけた！,,,0
これは探している物ではないようだ――,,,0
探している物を見つけた！,,,0
